ID_Aluno,First_Name,Last_Name,Email,Gender,Age,Parent_Education_Level,Family_Income_Level
S1000,Omar,Williams,student0@university.com,Female,22,High School,Medium
S1001,Maria,Brown,student1@university.com,Male,18,,Medium
S1002,Ahmed,Jones,student2@university.com,Male,24,Master's,Low
S1003,Omar,Williams,student3@university.com,Female,24,High School,High
S1004,John,Smith,student4@university.com,Female,23,High School,High
S1005,Liam,Brown,student5@university.com,Male,21,PhD,High
S1006,Ahmed,Jones,student6@university.com,Male,24,,Low
S1007,Ahmed,Smith,student7@university.com,Male,19,,Medium
S1008,Omar,Smith,student8@university.com,Female,21,Bachelor's,Low
S1009,Sara,Smith,student9@university.com,Female,22,,Medium
S1010,John,Smith,student10@university.com,Female,23,High School,Low
S1011,Omar,Williams,student11@university.com,Female,20,Master's,Low
S1012,John,Davis,student12@university.com,Male,21,Master's,High
S1013,John,Williams,student13@university.com,Male,18,,Medium
S1014,Liam,Williams,student14@university.com,Male,19,,Low
S1015,Ahmed,Jones,student15@university.com,Male,18,,High
S1016,Maria,Jones,student16@university.com,Female,21,,Low
S1017,Liam,Davis,student17@university.com,Female,23,PhD,Medium
S1018,Liam,Jones,student18@university.com,Male,20,,Medium
S1019,John,Johnson,student19@university.com,Male,20,PhD,Low
S1020,Emma,Davis,student20@university.com,Male,18,High School,Medium
S1021,Ahmed,Jones,student21@university.com,Male,22,,Low
S1022,Sara,Davis,student22@university.com,Male,22,,Low
S1023,Liam,Williams,student23@university.com,Female,23,Master's,Low
S1024,Maria,Williams,student24@university.com,Female,20,High School,Low
S1025,Emma,Davis,student25@university.com,Male,18,High School,High
S1026,Emma,Johnson,student26@university.com,Male,18,,Low
S1027,Sara,Johnson,student27@university.com,Male,18,,Medium
S1028,Liam,Davis,student28@university.com,Female,21,Bachelor's,Low
S1029,Maria,Jones,student29@university.com,Female,23,Master's,High
S1030,Ahmed,Brown,student30@university.com,Female,22,High School,Medium
S1031,Ali,Johnson,student31@university.com,Male,22,Bachelor's,Low
S1032,Maria,Smith,student32@university.com,Female,21,,Medium
S1033,Sara,Williams,student33@university.com,Male,19,Master's,Low
S1034,Emma,Davis,student34@university.com,Female,21,Master's,Low
S1035,Ahmed,Smith,student35@university.com,Female,23,,Medium
S1036,Maria,Davis,student36@university.com,Female,18,Bachelor's,Low
S1037,Ali,Williams,student37@university.com,Male,21,,Low
S1038,Ali,Williams,student38@university.com,Male,18,Master's,Medium
S1039,John,Johnson,student39@university.com,Female,23,Bachelor's,Low
S1040,John,Johnson,student40@university.com,Male,24,PhD,Low
S1041,Omar,Smith,student41@university.com,Male,23,Bachelor's,Medium
S1042,Sara,Davis,student42@university.com,Male,20,Bachelor's,Low
S1043,Liam,Williams,student43@university.com,Male,18,Bachelor's,High
S1044,Maria,Smith,student44@university.com,Male,22,Master's,Medium
S1045,Maria,Brown,student45@university.com,Male,21,,Low
S1046,Liam,Smith,student46@university.com,Male,24,Master's,Low
S1047,Omar,Jones,student47@university.com,Female,23,Master's,High
S1048,Emma,Smith,student48@university.com,Male,18,Master's,Medium
S1049,Emma,Jones,student49@university.com,Male,24,Master's,Low
S1050,Omar,Jones,student50@university.com,Female,19,,Low
S1051,Emma,Jones,student51@university.com,Female,20,PhD,Medium
S1052,John,Brown,student52@university.com,Female,19,,Low
S1053,Maria,Smith,student53@university.com,Female,23,High School,Medium
S1054,Omar,Smith,student54@university.com,Male,19,High School,Medium
S1055,Maria,Brown,student55@university.com,Female,19,,Medium
S1056,Liam,Williams,student56@university.com,Female,20,Bachelor's,Low
S1057,Ali,Johnson,student57@university.com,Male,20,,Low
S1058,John,Smith,student58@university.com,Male,20,,High
S1059,Ahmed,Johnson,student59@university.com,Male,24,Master's,Medium
S1060,John,Davis,student60@university.com,Female,20,,Low
S1061,Omar,Davis,student61@university.com,Male,19,,Low
S1062,Ahmed,Brown,student62@university.com,Female,22,PhD,Medium
S1063,Ali,Davis,student63@university.com,Male,22,Bachelor's,Medium
S1064,Omar,Davis,student64@university.com,Male,20,Master's,Low
S1065,Sara,Williams,student65@university.com,Female,24,Master's,High
S1066,Maria,Williams,student66@university.com,Male,21,Bachelor's,Low
S1067,Ali,Williams,student67@university.com,Male,18,PhD,Low
S1068,Maria,Davis,student68@university.com,Male,23,PhD,Low
S1069,Emma,Brown,student69@university.com,Male,24,,High
S1070,Sara,Jones,student70@university.com,Male,21,High School,High
S1071,Sara,Jones,student71@university.com,Female,23,High School,Low
S1072,Ali,Johnson,student72@university.com,Female,21,PhD,Low
S1073,Sara,Jones,student73@university.com,Male,21,Bachelor's,High
S1074,Ahmed,Jones,student74@university.com,Female,22,,Low
S1075,Sara,Williams,student75@university.com,Female,18,High School,Low
S1076,Maria,Williams,student76@university.com,Female,21,,High
S1077,Maria,Davis,student77@university.com,Male,20,Bachelor's,High
S1078,Omar,Johnson,student78@university.com,Male,23,Master's,Medium
S1079,Maria,Smith,student79@university.com,Male,24,Bachelor's,Low
S1080,Omar,Johnson,student80@university.com,Female,22,,High
S1081,Maria,Johnson,student81@university.com,Female,23,Master's,Low
S1082,Ahmed,Brown,student82@university.com,Male,20,,Low
S1083,Liam,Davis,student83@university.com,Male,20,Master's,Medium
S1084,Omar,Brown,student84@university.com,Female,21,,High
S1085,John,Johnson,student85@university.com,Female,20,,Low
S1086,Emma,Johnson,student86@university.com,Male,18,Master's,Medium
S1087,Ali,Johnson,student87@university.com,Female,20,PhD,Medium
S1088,Maria,Jones,student88@university.com,Female,21,PhD,High
S1089,Sara,Brown,student89@university.com,Female,23,Bachelor's,Medium
S1090,Liam,Johnson,student90@university.com,Female,20,PhD,Medium
S1091,Maria,Williams,student91@university.com,Female,22,Bachelor's,Medium
S1092,Sara,Davis,student92@university.com,Female,24,PhD,Medium
S1093,Emma,Davis,student93@university.com,Female,22,High School,Low
S1094,Emma,Williams,student94@university.com,Male,22,High School,High
S1095,Emma,Davis,student95@university.com,Male,23,High School,Medium
S1096,Sara,Jones,student96@university.com,Female,19,High School,Medium
S1097,Maria,Jones,student97@university.com,Female,24,,Medium
S1098,Emma,Smith,student98@university.com,Female,22,PhD,Low
S1099,Ahmed,Smith,student99@university.com,Male,22,Master's,Medium
S1100,Omar,Smith,student100@university.com,Male,19,Master's,Medium
